,AREA,PERIMETER,MAJOR_AXIS,MINOR_AXIS,ECCENTRICITY,SOLIDITY,EXTENT,ASPECT_RATIO,ROUNDNESS,COMPACTNESS,SHAPEFACTOR_1,SHAPEFACTOR_2,SHAPEFACTOR_4,MeanRR,MeanRG,MeanRB,StdDevRR,StdDevRG,StdDevRB,SkewRR,SkewRG,SkewRB,KurtosisRR,KurtosisRG,KurtosisRB,EntropyRR,EntropyRG,EntropyRB,Labeled Class
130,211558,1743.938,657.1328,413.1603,0.7776,0.992,0.764,1.5905,0.8741,0.7898,0.0031,0.002,0.9921,126.8893,124.8217,114.0865,35.3032,30.9954,28.24,-0.8952,-0.9141,-0.5635,2.7951,3.0058,2.709,-36284035072,-34353520640,-28170346496,1
131,351733,2261.1001,840.3734,544.2642,0.7619,0.9787,0.7617,1.5441,0.8645,0.7963,0.0024,0.0015,0.9791,116.3906,101.7665,112.7167,41.3592,41.2978,30.7947,0.0386,0.3882,0.2362,1.9861,1.7801,2.1036,-52839497728,-41059827712,-46387412992,1
132,226442,1776.88,624.4857,463.8141,0.6696,0.9875,0.7072,1.3464,0.9013,0.8598,0.0028,0.002,0.9954,91.7873,82.1482,87.5206,30.9448,26.9552,27.7023,0.2287,0.6352,0.1031,2.4475,2.9578,2.2858,-19855611904,-15432910848,-17585782784,1
133,274959,1959.943,718.3584,489.0562,0.7325,0.9897,0.7654,1.4689,0.8995,0.8237,0.0026,0.0018,0.9965,83.2719,70.4643,82.3704,31.0409,29.1865,27.6167,0.4867,0.5965,0.2118,2.5615,2.8309,2.4218,-20018171904,-14336789504,-18938886144,1
134,198410,1695.782,636.7207,398.5815,0.7798,0.9875,0.7634,1.5975,0.867,0.7894,0.0032,0.002,0.9954,111.7733,103.0843,105.3398,35.1355,27.3357,27.0205,-0.9355,-0.7488,-0.6552,2.6875,2.6843,2.464,-26364725248,-21340944384,-22269919232,1
135,215507,1800.814,707.0419,389.2315,0.8348,0.9928,0.6542,1.8165,0.8351,0.7409,0.0033,0.0018,0.9971,111.1776,96.4777,94.8133,30.0357,27.7418,21.7143,-0.5356,-0.0221,-0.4111,2.7461,2.3703,4.3451,-27486885888,-20338270208,-18856161280,1
136,209998,1728.412,619.6617,433.4965,0.7146,0.9851,0.7319,1.4295,0.8833,0.8345,0.003,0.0021,0.9954,111.896,102.51,100.4145,30.767,28.0681,24.0117,-0.4073,0.1148,0.0085,3.0352,2.3582,2.5733,-27255816192,-22460907520,-20996173824,1
137,267943,1993.986,760.1838,451.6438,0.8044,0.9863,0.748,1.6831,0.8469,0.7683,0.0028,0.0017,0.9937,121.3475,111.5089,111.6365,30.1242,27.4207,27.565,-0.5242,-0.0473,-0.2968,2.84,2.4012,2.5466,-40899383296,-33908801536,-34006165504,1
138,252950,1909.678,738.9279,438.0078,0.8054,0.9929,0.713,1.687,0.8716,0.768,0.0029,0.0017,0.9951,118.4135,100.2162,103.4286,32.0245,28.8399,22.6015,-0.3213,0.2341,-0.1755,2.6045,2.1199,3.0721,-37096386560,-25982603264,-26684616704,1
139,220042,1758.4399,653.5543,430.2653,0.7527,0.9922,0.767,1.519,0.8943,0.8099,0.003,0.002,0.9963,129.1375,125.5194,119.0468,29.4039,21.1924,26.297,-1.0543,-0.7649,-0.3733,3.7449,3.6253,2.5995,-38055931904,-34747215872,-31708426240,1
140,202546,1698.973,605.3612,428.199,0.7069,0.988,0.6898,1.4137,0.8818,0.8389,0.003,0.0021,0.9949,112.6353,95.1643,93.847,31.1764,27.0574,25.3386,-0.3628,0.3842,-0.1132,2.2787,2.7222,2.7094,-26709477376,-18514417664,-17767768064,1
141,189983,1672.8831,641.0609,378.4418,0.8072,0.9919,0.7524,1.6939,0.8531,0.7672,0.0034,0.002,0.9971,133.8062,126.8386,111.0693,31.3327,28.9654,27.8648,-0.8143,-0.5917,-0.3961,3.111,2.75,2.5333,-35665297408,-31607638016,-23896166400,1
142,187606,1630.703,599.4528,399.2988,0.7459,0.9913,0.6979,1.5013,0.8866,0.8153,0.0032,0.0021,0.9979,112.4404,100.9974,112.44,31.4118,26.6407,31.1598,-0.3257,-0.0829,-0.2638,2.4122,2.4856,2.1635,-24687417344,-19286505472,-24654178304,1
143,214952,1758.241,655.6318,419.8517,0.7681,0.9903,0.8041,1.5616,0.8738,0.7979,0.0031,0.002,0.9943,136.9214,138.2307,124.4116,37.9868,33.2549,31.7116,-0.4417,-0.3108,-0.2879,2.1218,2.1618,2.3888,-43595182080,-43527663616,-34814005248,1
144,203607,1703.28,614.098,423.8694,0.7236,0.992,0.7666,1.4488,0.8819,0.8291,0.003,0.0021,0.9959,123.7402,111.596,114.0725,36.6096,30.6306,29.8316,-0.5258,-0.3268,-0.1827,2.4805,2.5221,2.6514,-33449324544,-26266845184,-27348322304,1
145,220056,1726.933,618.8439,455.1255,0.6776,0.9936,0.8214,1.3597,0.9272,0.8553,0.0028,0.0021,0.9948,134.9029,123.3864,115.8456,33.0874,23.857,20.4342,-0.6318,-0.3312,-0.0403,2.8585,3.1644,3.0947,-42335436800,-33838184448,-29215776768,1
146,243520,1906.798,719.8704,431.61,0.8003,0.9871,0.6947,1.6679,0.8417,0.7735,0.003,0.0018,0.9979,116.2535,105.1918,97.5916,32.2907,30.0538,25.7994,-0.4675,-0.0894,-0.0286,2.3174,2.5546,2.8688,-34449842176,-27787366400,-23213481984,1
147,176050,1573.8521,590.4749,380.9525,0.764,0.9916,0.7994,1.55,0.8931,0.8018,0.0034,0.0022,0.9965,109.0591,102.4448,109.7011,32.2309,24.0147,25.8234,-0.3976,0.0683,-0.1785,2.5066,2.6685,2.5863,-21891194880,-18349871104,-21354602496,1
149,196414,1653.057,605.6224,414.072,0.7298,0.9885,0.7584,1.4626,0.9032,0.8257,0.0031,0.0021,0.9973,96.1517,80.5026,77.3272,23.2293,17.9201,18.9441,-0.6894,0.184,-0.1586,3.02,4.2556,4.035,-17852364800,-11914446848,-11033033728,1
150,222950,1752.439,602.6717,474.1278,0.6173,0.9903,0.7141,1.2711,0.9123,0.8841,0.0027,0.0021,0.9934,116.7086,111.7888,109.0914,37.8476,37.5218,31.8324,-0.5932,-0.2343,-0.3108,2.2501,1.7806,1.8608,-32849096704,-30156169216,-27677263872,1
151,250947,1905.2841,732.446,439.0812,0.8004,0.9908,0.7651,1.6681,0.8687,0.7717,0.0029,0.0017,0.9935,101.7774,90.236,91.2608,34.7262,32.0575,27.5444,0.0493,0.5427,0.3955,2.0402,2.2685,2.3673,-27729352704,-21518141440,-21166172160,1
152,239427,1875.272,708.0372,431.308,0.793,0.9881,0.7436,1.6416,0.8556,0.7798,0.003,0.0018,0.9983,95.8518,84.2159,84.4119,24.2664,22.7581,20.4598,-0.4066,0.3927,-0.1435,3.1437,3.4499,3.8469,-21768355840,-16532210688,-16318384128,1
153,190954,1628.9189,610.1746,399.0778,0.7565,0.9937,0.7839,1.529,0.9044,0.8081,0.0032,0.0021,0.9985,94.8858,83.3342,95.2195,28.1813,23.9458,25.9088,-0.2422,-0.003,-0.09,2.3034,2.9355,2.8682,-17476749312,-13023215616,-17322221568,1
154,216487,1746.856,659.9696,420.1559,0.7712,0.9923,0.8107,1.5708,0.8915,0.7955,0.003,0.0019,0.994,93.1104,82.21,79.5077,35.5813,31.8677,22.3666,-0.367,0.039,-0.1779,2.0551,1.8222,2.8939,-20281972736,-15492541440,-13242126336,1
155,280320,2029.684,751.5424,476.7822,0.773,0.9836,0.7985,1.5763,0.8551,0.7949,0.0027,0.0017,0.9961,102.3456,90.9526,87.6096,27.2401,20.6244,20.5112,-0.4186,0.2085,0.0126,2.7258,3.4636,3.516,-29705947136,-22351886336,-20652969984,1
156,191163,1695.764,641.0919,380.346,0.805,0.9865,0.7496,1.6855,0.8354,0.7695,0.0034,0.002,0.9982,125.9962,117.1444,111.4114,35.726,35.1489,28.9769,-0.7478,-0.4542,-0.4212,2.5885,2.0577,2.1601,-32400574464,-27919822848,-24345606144,1
157,197424,1691.033,623.2335,405.1581,0.7599,0.9896,0.7661,1.5382,0.8676,0.8045,0.0032,0.0021,0.9955,116.3645,114.7443,95.8221,31.0909,29.8537,25.9092,-0.6566,-0.4045,-0.2286,2.5416,2.2942,2.5258,-27790407680,-26835095552,-18138062848,1
158,192454,1657.265,622.9678,394.7744,0.7736,0.9902,0.8084,1.578,0.8805,0.7946,0.0032,0.0021,0.9964,78.9069,70.5369,81.1749,19.0748,17.9944,22.1252,0.0555,1.3019,0.6911,4.5543,9.5935,4.3352,-11288364032,-8877689856,-12270061568,1
159,212900,1740.348,651.9711,417.6589,0.7679,0.9901,0.7897,1.561,0.8833,0.7986,0.0031,0.002,0.9955,113.0472,113.7573,102.4692,36.1651,32.2747,27.4214,-0.324,-0.2013,-0.2505,2.037,2.0001,2.3903,-29163413504,-28835395584,-22648289280,1
160,177803,1573.6281,605.3248,375.6269,0.7842,0.9948,0.8304,1.6115,0.9023,0.786,0.0034,0.0021,0.9956,105.6829,96.849,96.111,28.2505,22.6159,25.5095,-0.4053,-0.0089,-0.1977,2.7678,2.7131,2.3884,-20242288640,-16355894272,-16392951808,1
161,226586,1773.175,662.9202,436.9543,0.752,0.9919,0.8083,1.5171,0.9056,0.8102,0.0029,0.0019,0.996,86.9641,80.9514,90.42,23.8971,19.1627,21.7081,-0.2492,0.2914,0.0497,2.4317,3.4604,2.5807,-16837611520,-14030576640,-17969643520,1
162,209100,1708.429,642.4437,416.5172,0.7614,0.9918,0.7706,1.5424,0.9003,0.8032,0.0031,0.002,0.9949,93.1083,90.3245,83.9739,34.0988,31.5603,25.9629,0.2538,0.4462,0.2409,2.1187,2.3127,2.443,-19374133248,-17878642688,-14739041280,1
163,138167,1370.208,498.7525,353.9258,0.7046,0.9925,0.7316,1.4092,0.9248,0.841,0.0036,0.0026,0.9966,86.1304,84.2102,90.5056,27.5093,25.6148,25.0531,0.2752,0.9259,0.2228,2.5951,3.7693,2.8701,-10381501440,-9775930368,-11240395776,2
164,138362,1411.187,525.3536,336.471,0.768,0.9836,0.7797,1.5614,0.8731,0.7989,0.0038,0.0024,0.9966,130.172,130.8726,124.2082,28.9102,22.0417,23.7706,-0.9599,-0.7619,-0.2867,3.6927,3.7615,2.4843,-24282138624,-23951843328,-21570297856,2
165,160562,1514.448,570.1646,359.911,0.7756,0.9913,0.7854,1.5842,0.8797,0.793,0.0036,0.0022,0.9962,129.5311,135.3102,117.0099,32.4974,25.1719,25.2575,-0.8754,-0.7441,-0.4138,3.1097,2.8883,2.3741,-28332498944,-30146041856,-22212888576,2
166,208042,1725.811,649.4158,411.8994,0.7731,0.9918,0.7331,1.5766,0.8778,0.7925,0.0031,0.002,0.9903,104.7724,93.1733,87.2115,34.2646,31.6825,27.3743,0.0072,0.2815,0.3013,2.206,2.2021,2.7079,-24241860608,-18904291328,-16004977664,2
167,143391,1416.606,544.4253,335.9414,0.7869,0.9943,0.7796,1.6206,0.8979,0.7848,0.0038,0.0023,0.9982,115.5527,113.3419,104.9527,29.2429,24.5778,28.5005,-0.8439,-0.4278,-0.3397,3.1254,2.5324,2.2916,-19697719296,-18499430400,-16122652672,2
168,209723,1749.959,686.3148,390.2822,0.8226,0.9928,0.7799,1.7585,0.8606,0.7529,0.0033,0.0019,0.9969,107.8277,99.3501,102.2511,25.6328,21.3737,20.7585,-0.1665,0.1273,0.2413,2.5744,3.5299,3.3889,-24522039296,-20206684160,-21401454592,2
169,156476,1502.326,565.1384,353.8776,0.7797,0.9882,0.7827,1.597,0.8712,0.7898,0.0036,0.0023,0.9962,91.509,80.7953,86.1067,22.3634,19.1765,20.149,-0.2782,1.0141,0.8027,3.221,6.9399,5.5131,-12771258368,-9656775680,-11100552192,2
170,126137,1356.411,507.2314,318.8602,0.7777,0.9857,0.785,1.5908,0.8615,0.7901,0.004,0.0025,0.993,135.8965,137.6824,122.6962,33.4921,30.3621,29.7397,-1.0604,-1.1007,-0.662,3.6246,4.1726,3.4069,-24667023360,-25022298112,-19657609216,2
171,143297,1440.493,559.0104,328.0878,0.8097,0.9927,0.8145,1.7038,0.8678,0.7641,0.0039,0.0023,0.9948,149.4031,149.5811,124.0181,33.6113,27.8297,27.4547,-1.3671,-1.2109,-0.8987,4.1829,3.9848,3.19,-34094051328,-33536829440,-22595817472,2
172,147389,1481.552,570.8041,332.1487,0.8133,0.986,0.8497,1.7185,0.8438,0.7589,0.0039,0.0023,0.9898,119.4123,117.9428,106.9436,29.6726,26.5961,25.3597,-0.1667,0.1775,-0.0293,2.8118,2.7526,2.9183,-21725470720,-20868001792,-16919024640,2
173,134784,1396.613,512.9982,337.8875,0.7524,0.9814,0.7789,1.5183,0.8684,0.8075,0.0038,0.0025,0.9901,125.6618,126.8658,107.0576,27.2353,20.4259,26.0747,-0.7563,-0.2656,-0.1187,3.1777,2.7328,2.3465,-21827747840,-21723887616,-15566317568,2
174,145210,1424.349,535.0179,346.342,0.7622,0.992,0.7395,1.5448,0.8994,0.8037,0.0037,0.0024,0.9978,141.3801,145.6726,132.4278,29.9463,23.0605,23.2314,-1.2651,-1.1469,-0.9656,4.2974,4.0086,3.8986,-30394583040,-31689562112,-25875439616,2
175,146059,1428.892,518.9333,359.8793,0.7205,0.9903,0.7911,1.442,0.899,0.831,0.0036,0.0025,0.9958,115.6353,111.8114,104.7724,23.1401,17.3022,20.7685,-1.0761,-0.012,0.0293,4.4927,4.4583,3.5464,-19518910464,-17768634368,-15690675200,2
176,166950,1568.7729,578.2525,372.5923,0.7647,0.9879,0.8007,1.552,0.8525,0.7973,0.0035,0.0022,0.9866,146.5992,141.863,128.0412,33.2731,29.9051,28.3067,-0.9846,-0.5106,-0.3159,3.4109,2.4204,2.5319,-38155313152,-35209359360,-28252712960,2
177,150891,1453.5959,532.0154,363.603,0.73,0.9888,0.7984,1.4632,0.8974,0.8239,0.0035,0.0024,0.9932,92.4581,82.7228,88.3253,28.4877,24.8674,26.3492,0.4303,0.8472,0.8577,2.8504,3.8411,3.6331,-13159569408,-10233899008,-11816067072,2
178,106793,1217.454,434.7454,313.3625,0.6931,0.9883,0.747,1.3874,0.9054,0.8482,0.0041,0.0029,0.9981,109.4719,106.1306,101.5765,35.9257,34.2667,30.1076,-0.0022,0.1193,0.2811,1.8838,1.8167,2.1977,-13722007552,-12767454208,-11370534912,2
179,190634,1662.217,625.8346,390.4694,0.7815,0.9884,0.8131,1.6028,0.867,0.7872,0.0033,0.002,0.9933,145.7374,144.5245,127.1269,30.4779,23.2386,21.7898,-1.2773,-0.8654,-0.3841,4.3862,4.0821,3.5399,-42598805504,-40928096256,-30997839872,2
180,144637,1422.494,523.191,352.5846,0.7388,0.9905,0.7623,1.4839,0.8982,0.8202,0.0036,0.0024,0.9983,123.5578,122.1742,114.7809,28.6747,22.563,26.1378,-0.9937,-0.3999,-0.218,3.8348,3.2121,2.6395,-22750343168,-21672732672,-19304228864,2
181,129886,1365.856,519.2155,318.9104,0.7891,0.9908,0.6861,1.6281,0.8749,0.7832,0.004,0.0025,0.9987,143.482,137.5604,125.512,31.6021,23.369,23.8488,-1.4328,-0.6273,-0.7223,4.6892,3.0388,3.0175,-28202487808,-25110024192,-20702752768,2
182,126292,1319.9,488.1225,330.096,0.7367,0.9929,0.7113,1.4787,0.911,0.8215,0.0039,0.0026,0.998,125.704,122.87,113.3824,33.9782,26.7273,27.5417,-0.8778,-0.4465,-0.4281,3.1088,2.5801,2.5203,-21109915648,-19476973568,-16545778688,2
183,136138,1404.201,530.9112,329.2051,0.7845,0.988,0.7389,1.6127,0.8676,0.7842,0.0039,0.0024,0.9917,126.4219,123.5209,102.7053,31.4194,27.0867,27.1844,-0.9306,-0.3889,-0.1801,3.559,2.6093,2.7139,-22737070080,-21262274560,-14530268160,2
184,151713,1481.229,582.5072,331.9456,0.8217,0.9931,0.687,1.7548,0.8689,0.7545,0.0038,0.0022,0.999,92.5289,87.7087,96.5018,22.9716,19.6667,20.7177,0.0765,1.0781,0.2377,3.6487,5.621,4.0334,-12724516864,-11151576064,-13703142400,2
187,143668,1446.12,553.8131,332.1207,0.8002,0.9889,0.6735,1.6675,0.8633,0.7723,0.0039,0.0023,0.9945,128.553,120.6565,118.803,36.4798,31.1817,28.1015,-0.4365,0.0932,-0.0289,2.632,2.3267,2.8283,-25466613760,-21805602816,-20795639808,2
189,113667,1251.496,462.6203,313.1204,0.7361,0.9936,0.7141,1.4775,0.912,0.8223,0.0041,0.0028,0.9991,106.0841,102.9813,102.1894,29.5004,25.2654,26.7632,-0.5569,0.0164,0.0122,2.6954,2.5862,2.642,-13137970176,-12061977600,-11979322368,2
190,148679,1477.3669,565.0262,337.5208,0.802,0.9868,0.7216,1.674,0.856,0.77,0.0038,0.0023,0.9926,126.7722,116.5987,111.2925,29.0442,25.2677,26.9988,-0.8253,-0.5379,-0.2507,3.4986,3.0595,2.6528,-24711442432,-20416264192,-18694287360,2
191,153353,1501.488,585.9454,335.2349,0.8202,0.9885,0.8264,1.7479,0.8548,0.7541,0.0038,0.0022,0.994,126.1267,114.0718,107.9288,32.4403,27.7592,26.2087,-0.7002,-0.1769,-0.1947,3.0101,2.6121,2.898,-25620695040,-20371875840,-18021154816,2
192,123912,1294.531,470.6189,335.611,0.701,0.9946,0.7447,1.4023,0.9292,0.844,0.0038,0.0027,0.9989,157.4652,157.1221,122.8388,35.4495,27.8306,27.6271,-1.6032,-1.3571,-0.8643,5.2858,4.6155,2.9823,-33083486208,-32179709952,-19168829440,2
193,149845,1467.722,573.7374,333.2054,0.8141,0.9918,0.782,1.7219,0.8741,0.7613,0.0038,0.0022,0.998,127.3161,121.9014,116.2971,35.7104,30.7762,26.1071,-0.2539,0.1865,0.0545,2.3286,2.1057,2.337,-25953759232,-23181002752,-20554786816,2
194,144975,1426.858,535.9053,345.1051,0.7651,0.9922,0.7083,1.5529,0.8948,0.8017,0.0037,0.0024,0.9981,90.1562,85.9035,106.8337,35.7263,31.4692,29.6485,-0.3462,-0.1857,-0.4011,1.9947,2.2828,2.5963,-12801163264,-11223094272,-17017174016,2
195,136538,1383.509,503.1316,347.8224,0.7226,0.9861,0.7651,1.4465,0.8964,0.8287,0.0037,0.0025,0.9934,127.6793,119.391,110.7074,31.319,26.0718,25.0809,-1.0953,-0.495,-0.2246,3.7237,2.7819,2.7547,-23258535936,-19772581888,-16814415872,2
196,162525,1520.96,569.8452,363.798,0.7697,0.9908,0.7603,1.5664,0.8829,0.7983,0.0035,0.0022,0.9982,115.9823,106.6484,105.1739,23.9022,20.0254,24.4108,-0.7826,0.1732,0.1205,3.9956,3.9793,2.9292,-21932597248,-18067736576,-17931122688,2
197,129998,1385.066,511.4419,324.9084,0.7723,0.9839,0.7914,1.5741,0.8515,0.7955,0.0039,0.0025,0.9961,147.9224,147.0918,130.6119,31.3109,28.1133,27.8133,-0.8047,-0.7814,-0.1875,3.1951,3.616,2.5203,-30063687680,-29396901888,-22887102464,2
198,151554,1454.797,541.0281,357.0083,0.7514,0.9941,0.7711,1.5154,0.8999,0.8119,0.0036,0.0024,0.999,120.3432,113.7172,111.5773,30.958,28.3032,28.9196,-0.5568,-0.1291,-0.4224,2.7565,2.0132,2.4708,-22836240384,-20062943232,-19353348096,2
201,169280,1586.569,589.5577,367.1072,0.7825,0.984,0.8013,1.606,0.8451,0.7875,0.0035,0.0022,0.9959,92.7203,88.0182,94.1285,33.1262,32.0901,30.2597,-0.0145,0.2911,0.3809,2.2515,2.5533,2.9864,-15413698560,-13831546880,-15511823360,2
202,145165,1466.083,557.8549,332.8617,0.8025,0.9873,0.7875,1.6759,0.8487,0.7707,0.0038,0.0023,0.9954,128.5056,131.2321,122.2016,35.513,28.6195,26.6073,-0.4317,-0.0886,0.0407,2.576,2.4257,2.6105,-25586776064,-25897383936,-22129747968,2
203,148181,1486.942,548.4078,345.0912,0.7772,0.9836,0.7615,1.5892,0.8422,0.792,0.0037,0.0023,0.9969,117.7226,106.7267,107.3839,30.94,25.6583,23.3937,-0.2674,0.2234,-0.0148,2.8783,2.6634,3.1703,-21350381568,-16970543104,-16980877312,2
204,178137,1613.375,611.778,371.4034,0.7946,0.9873,0.7743,1.6472,0.86,0.7785,0.0034,0.0021,0.9982,143.0229,143.8989,128.4096,37.762,30.5346,30.1872,-1.003,-0.9088,-0.4555,2.9256,2.954,2.3999,-39396945920,-38781554688,-30570317824,2
206,136159,1393.309,518.6189,335.3107,0.7629,0.9861,0.7806,1.5467,0.8814,0.8028,0.0038,0.0025,0.9969,134.3338,136.4624,126.5629,33.1957,25.9266,27.7518,-1.1731,-0.9182,-0.5872,3.6602,3.072,2.4775,-25964941312,-26091556864,-22433945600,2
208,138061,1397.4399,533.3875,330.7272,0.7846,0.9927,0.8196,1.6128,0.8884,0.786,0.0039,0.0024,0.9965,92.219,89.3161,98.4758,25.2724,23.707,25.2079,-0.1183,0.5878,0.2499,2.8761,3.4091,2.8337,-11680705536,-10830333952,-13359763456,2
209,172108,1570.163,586.244,376.8531,0.766,0.9895,0.7891,1.5556,0.8772,0.7985,0.0034,0.0022,0.9919,128.667,132.6658,116.1276,35.287,30.4518,30.2622,-0.6243,-0.4752,-0.3009,2.7212,2.3369,2.2023,-30370191360,-31635632128,-24030167040,2
210,137932,1404.546,524.6572,335.7947,0.7684,0.987,0.7834,1.5624,0.8786,0.7988,0.0038,0.0024,0.9968,108.3867,108.3924,104.5471,27.3157,22.0612,26.2298,-0.6428,-0.2864,-0.2365,2.6462,3.0183,2.6045,-16443756544,-16013483008,-15180389376,2
211,207029,1765.353,704.8253,375.3293,0.8464,0.9929,0.8048,1.8779,0.8348,0.7284,0.0034,0.0018,0.9964,113.2164,106.724,117.7281,24.9791,18.315,21.0425,-0.8902,0.5687,-0.0853,4.1634,4.7953,3.1464,-26686932992,-22885431296,-28511535104,2
212,151596,1499.804,576.5701,335.9818,0.8127,0.989,0.7504,1.7161,0.8469,0.762,0.0038,0.0022,0.9964,92.1805,81.3582,86.5462,19.9001,15.9618,20.6301,-0.7349,1.4089,0.4577,4.1889,12.0608,5.1296,-12369060864,-9288654848,-10901436416,2
213,127056,1364.663,500.5718,325.939,0.759,0.9852,0.8154,1.5358,0.8573,0.8035,0.0039,0.0026,0.9915,127.374,123.5819,115.2354,33.8982,32.0639,32.417,-0.7237,-0.7096,-0.2739,2.5946,2.8401,2.4182,-21812361216,-20323153920,-17674768384,2
214,138262,1403.356,542.065,326.1642,0.7987,0.9935,0.7554,1.6619,0.8822,0.774,0.0039,0.0024,0.9957,140.7846,140.9268,119.4874,31.2249,25.8886,25.9502,-1.1736,-0.751,-0.4546,3.9672,2.9005,2.4017,-28823592960,-28359831552,-20046186496,2
215,138766,1392.42,520.9381,340.4706,0.7569,0.9918,0.7941,1.5301,0.8994,0.8069,0.0038,0.0025,0.9962,138.2284,140.6042,120.6224,31.1543,24.4073,26.7193,-0.6206,-0.0074,-0.2799,3.2517,2.1487,2.358,-27851569152,-28201566208,-20593477632,2
216,153752,1497.799,560.4558,353.3676,0.7762,0.9892,0.7751,1.586,0.8612,0.7894,0.0036,0.0023,0.9885,123.3951,122.2981,110.3003,32.8187,29.3027,28.7117,-0.2915,0.0755,-0.0208,2.6873,2.3885,2.3633,-24623306752,-23769907200,-19163858944,2
217,158096,1524.178,572.8527,353.2698,0.7872,0.9898,0.7927,1.6216,0.8552,0.7832,0.0036,0.0022,0.9947,131.011,126.9325,123.286,31.5014,27.8971,29.4054,-0.7751,-0.3663,-0.276,3.2905,2.662,2.5694,-28433750016,-26227253248,-24855111680,2
218,143261,1423.744,529.3361,348.0392,0.7535,0.9917,0.7867,1.5209,0.8881,0.8068,0.0037,0.0024,0.9901,123.4206,121.5066,113.2295,27.4058,21.376,24.428,-0.8441,-0.1595,-0.0611,3.7231,2.957,2.5269,-22358900736,-21127413760,-18436028416,2
219,146827,1447.351,558.1056,335.986,0.7985,0.9919,0.7909,1.6611,0.8808,0.7747,0.0038,0.0023,0.997,138.3335,142.1838,127.8503,34.6434,26.6523,28.1135,-0.9658,-0.7588,-0.5966,3.2163,2.7036,2.6183,-29931704320,-30763431936,-24745015296,2
220,158924,1497.396,549.2912,370.9325,0.7375,0.9886,0.8115,1.4808,0.8907,0.8189,0.0035,0.0023,0.9931,95.7466,86.3088,94.1414,32.3151,29.2402,29.8508,0.0356,0.5209,0.255,2.4563,3.0237,2.8602,-15297030144,-12183407616,-14515734528,2
222,187667,1650.6479,612.0896,393.5074,0.766,0.9859,0.802,1.5555,0.8655,0.7986,0.0033,0.0021,0.992,130.8046,124.76,115.6849,35.6407,31.3167,26.6174,-0.5832,-0.0045,-0.053,2.5308,1.8065,2.0029,-34302599168,-30521284608,-25522841600,2
223,143352,1427.5811,515.6693,354.6234,0.726,0.9865,0.7724,1.4541,0.8839,0.8285,0.0036,0.0025,0.9981,132.1553,132.8907,122.4844,34.6297,26.3806,26.2227,-0.5431,0.0547,0.1644,2.9605,2.5738,2.4806,-26626850816,-26030348288,-21924487168,2
224,242106,1897.218,733.3027,424.0022,0.8159,0.9891,0.7937,1.7295,0.8452,0.7571,0.003,0.0018,0.9914,101.7057,88.4157,91.0843,33.4057,26.3415,28.5225,-0.6433,-0.1795,-0.2889,2.634,2.8078,2.5781,-26404036608,-18962182144,-20471883776,2
225,138769,1404.488,516.3408,344.0673,0.7456,0.9906,0.7613,1.5007,0.884,0.8141,0.0037,0.0025,0.9945,127.2342,128.8756,108.2445,31.9082,23.6834,24.2242,-1.127,-1.184,-0.462,3.5441,5.0311,2.8754,-23532441600,-23373099008,-16232477696,2
226,140276,1396.4659,515.7888,346.9041,0.74,0.9889,0.7916,1.4868,0.9039,0.8194,0.0037,0.0025,0.9982,67.6805,67.6815,80.916,20.7385,20.7076,23.7326,0.1936,0.7228,0.2103,3.1327,5.3155,3.3467,-6105571840,-6109187072,-9001221120,2
228,123321,1332.6071,506.1284,311.3531,0.7884,0.9925,0.7242,1.6256,0.8727,0.7829,0.0041,0.0025,0.9964,130.1135,132.4925,105.5937,29.3013,22.0335,24.5488,-1.4281,-1.2616,-0.9384,4.451,4.1482,3.1862,-21648541696,-21911853056,-13716354048,2
229,158028,1524.984,583.8958,345.9882,0.8055,0.9873,0.7571,1.6876,0.8539,0.7682,0.0037,0.0022,0.996,82.5868,83.1525,71.8996,26.2801,22.8516,23.3565,0.0021,0.3595,0.8054,2.2752,2.9607,3.7498,-10801320960,-10640450560,-7991440384,2
230,152858,1488.0179,568.9197,342.9484,0.7979,0.9905,0.7428,1.6589,0.8675,0.7754,0.0037,0.0022,0.9975,132.7679,133.1531,109.2124,27.3917,21.3134,24.2073,-1.3334,-0.7725,-0.1043,4.9389,3.9493,2.513,-27783301120,-27393744896,-18219714560,2
232,143446,1435.196,546.4086,335.3802,0.7895,0.9896,0.7641,1.6292,0.8751,0.7821,0.0038,0.0023,0.9967,110.9879,105.9641,97.8208,27.2662,24.2229,24.2473,-0.5142,-0.2695,-0.3096,2.7046,2.5783,2.7048,-17955272704,-16053414912,-13601080320,2
233,143356,1426.459,550.8297,331.6248,0.7985,0.9938,0.7981,1.661,0.8853,0.7756,0.0038,0.0023,0.9992,116.643,119.1973,106.4353,39.2311,37.3937,31.0386,-0.4753,-0.5714,-0.5239,2.0547,2.0053,2.1746,-21292279808,-21961005056,-16844609536,2
234,134664,1385.511,514.5657,334.5349,0.7598,0.9883,0.7508,1.5382,0.8815,0.8047,0.0038,0.0025,0.996,113.9397,116.5125,99.0061,32.4323,27.3087,27.4219,-0.8056,-0.712,-0.2154,2.796,3.2864,2.5952,-18296057856,-18637944832,-13358255104,2
